mondo_id,label,pubmed_total_count,ct_active_trials,ct_total_enrollment_target,wiki_annual_pv,wiki_lang_count,google_result_count
MONDO:0850109,non-specific autoimmune cerebellar ataxia without characteristic antibodies,2,0,0,412759,50,0
MONDO:0850110,melanoma in congenital melanocytic nevus,1071,12,93149,37094,12,0
MONDO:0850112,breast implant-associated anaplastic large cell lymphoma,783,5,21310,172024,30,0
MONDO:0850115,early-onset obesity-hyperphagia-severe developmental delay syndrome,528,0,0,525679,41,0
MONDO:0850122,solid adenocarcinoma with mucin production,87,1,3000,3097,2,0
MONDO:0850123,autonomic nervous system benign neoplasm,9242,2,20030,9429,1,0
MONDO:0850125,malignant adenoma,576745,1000,917180,79107,48,0
MONDO:0850126,testicular sex cord-stromal benign neoplasm,324,0,0,160486,39,0
MONDO:0850127,epithelioid inflammatory myofibroblastic sarcoma,128,2,10139,10285,2,0
MONDO:0850128,epididymis disease,3355,5,34305,135027,26,0
MONDO:0850129,gastroesophageal cancer,12230,322,12705458,734870,58,0
MONDO:0850130,gastroesophageal adenocarcinoma,5896,246,75193,5084,2,0
MONDO:0850144,germ cell benign neoplasm,31931,25,23748,66904,19,0
MONDO:0850149,nephroma,15641,3,79900,2999,13,0
MONDO:0850150,kidney cortex disease,27219,91,168965,257268,37,0
MONDO:0850151,lymph node carcinoma,107726,595,353846,22465,19,0
MONDO:0850152,auditory system benign neoplasm,658,0,0,56944,42,0
MONDO:0850154,tongue carcinoma,12403,42,8476,263810,33,0
MONDO:0850156,B-lymphoblastic leukemia/lymphoma MLL rearranged,15,3,260,167664,42,0
MONDO:0850157,B-lymphoblastic leukemia/lymphoma with ETV6-RUNX1,17,0,0,167664,42,0
MONDO:0850160,B-lymphoblastic leukemia/lymphoma with IL3-IGH,1,0,0,167664,42,0
MONDO:0850161,"B-lymphoblastic leukemia/lymphoma, BCR-ABL1–like",16,6,1251,167664,42,0
MONDO:0850162,B-lymphoblastic leukemia/lymphoma with IAMP21,8,1,70,45819,18,0
MONDO:0850170,spinal muscular atrophy type 0,0,30,5497,203615,39,0
MONDO:0850196,medulloblastoma WNT activated,301,2,130,62598,24,0
MONDO:0850197,medulloblastoma SHH activated,587,2,400,235924,28,0
MONDO:0850198,medulloblastoma non-WNT/non-SHH,85,3,253,235924,28,0
MONDO:0850199,NK cell deficiency,7624,30,6290,38584,4,0
MONDO:0850200,T cell and NK cell immunodeficiency,2938,26,15171,38584,4,0
MONDO:0850201,hereditary alpha tryptasemia syndrome,28,1,200,510719,11,0
MONDO:0850223,Libman-Sacks endocarditis,93742,0,0,21216,12,0
MONDO:0850225,autoimmune cholangitis,3999,18,24020,113366,21,0
MONDO:0850230,chronic urticaria,8083,42,127952,485871,62,0
MONDO:0850231,erythema nodosum,5262,4,621,144596,24,0
MONDO:0850257,mucinous pancreas adenocarcinoma,3606,23,460704,818743,67,0
MONDO:0850267,childhood acute megakaryoblastic leukemia,90,0,0,15277,7,0
MONDO:0850269,core binding factor acute myeloid leukemia,2280,6,942,10583,5,0
MONDO:0850271,myeloid leukemia associated with down syndrome,432,4,1930,480643,49,0
MONDO:0850273,salivary gland mucinous adenocarcinoma,147,1,60,40553,17,0
MONDO:0850281,mammary analog secretory carcinoma,285,0,0,2052,1,0
MONDO:0850282,chronic asthma,51039,261,1299770,500850,123,0
MONDO:0850283,acute asthma,20292,194,844720,23292,9,0
MONDO:0850284,extrinsic asthma,1139,63,89652,500850,123,0
MONDO:0850285,environmental induced asthma,6341,7,21298,500850,123,0
MONDO:0850286,exercise-induced bronchoconstriction,4082,0,0,37638,6,0
MONDO:0850287,aspirin-induced respiratory disease,974,5,16036,40086,11,0
MONDO:0850289,human betaherpesvirus 5 infectious disease,13118,7,731,330274,42,0
MONDO:0850292,subjective cognitive decline,6280,341,292428,65087,17,0
